x;y;OBJECTID;Nombre_Ban;Este;Norte
283165.6218;2164027.139;1;Banca Miguel;283165.6218;2164027.139
282930.5444;2164221.532;2;D'Tony Banca;282930.5444;2164221.532
282938.9712;2164336.808;3;Beco;282938.9712;2164336.808
282836.7735;2164287.553;4;Fey;282836.7735;2164287.553
282785.6107;2164274.995;5;Chavez;282785.6107;2164274.995
282597.6111;2164369.065;6;Los Cibaos;282597.6111;2164369.065
282512.1038;2164761.634;7;Loteka;282512.1038;2164761.634
282423.7407;2164987.593;8;Beco;282423.7407;2164987.593
282396.3566;2165040.299;9;La Real;282396.3566;2165040.299
282462.6353;2165079.136;10;OM;282462.6353;2165079.136
282384.6317;2165094.698;11;Out 27 Sport;282384.6317;2165094.698
282374.9211;2165142.096;12;Edickson Batista;282374.9211;2165142.096
282423.0193;2165179.049;13;Fey;282423.0193;2165179.049
282393.2369;2165293.571;14;Los Cibaos;282393.2369;2165293.571
282403.804;2165403.285;15;Chavez;282403.804;2165403.285
282467.9189;2165125.356;16;Loteka;282467.9189;2165125.356
282442.3237;2165143.825;17;Carlito Sport;282442.3237;2165143.825
282500.9312;2165008.802;18;King;282500.9312;2165008.802
282531.4338;2164927.601;19;JL;282531.4338;2164927.601
282242.4323;2164836.656;20;OM;282242.4323;2164836.656
282305.3127;2164629.94;21;Fey;282305.3127;2164629.94
282469.1415;2164222.026;22;JL;282469.1415;2164222.026
282620.4294;2164173.244;23;Ramirez;282620.4294;2164173.244
282683.2761;2164136.496;24;D'Tony Banca;282683.2761;2164136.496
282659.7744;2164085.293;25;Juancito Sport;282659.7744;2164085.293
282275.9022;2164238.874;26;JL;282275.9022;2164238.874
282201.5995;2164308.87;27;Prospero;282201.5995;2164308.87
282332.9231;2164656.401;28;OM;282332.9231;2164656.401
282629.2103;2163996.97;29;Los Cibaos;282629.2103;2163996.97
282507.8186;2164044.393;30;JL;282507.8186;2164044.393
282318.9435;2164118.324;31;Juancito Sport;282318.9435;2164118.324
282254.7184;2164145.235;32;King;282254.7184;2164145.234
282145.957;2164186.749;33;Nicol;282145.957;2164186.749
282078.7253;2164216.686;34;JL;282078.7253;2164216.686
282076.9546;2164217.815;35;JL;282076.9546;2164217.815
282598.3305;2163891.268;36;OM;282598.3305;2163891.268
282283.0216;2164021.098;37;JL;282283.0216;2164021.098
281993.984;2163963.042;38;D'Tony Banca;281993.984;2163963.042
281768.4339;2163955.707;39;Loteka;281768.4339;2163955.707
281848.6452;2164052.283;40;Jesús Anibal;281848.6452;2164052.283
281777.9371;2163960.352;41;Jesús Anibal;281777.9371;2163960.352
281906.007;2163901.106;42;Banca José;281906.007;2163901.106
281859.768;2163913.848;43;Loteka;281859.768;2163913.848
281902.5413;2163788.649;44;Jesús Anibal;281902.5413;2163788.649
282034.8041;2163858.462;45;Jesús Anibal;282034.8041;2163858.462
282141.3801;2163783.756;46;Beco;282141.3801;2163783.755
282161.2622;2163424.092;47;Jesús Anibal;282161.2622;2163424.092
282194.4771;2163523.012;48;Leidsa;282194.4771;2163523.012
282199.6394;2163541.884;49;Los Cibaos;282199.6394;2163541.884
282248.1339;2163559.233;50;Loteka;282248.1339;2163559.233
281940.6313;2164072.757;51;King;281940.6313;2164072.757
281960.4475;2164062.329;52;Jesús Anibal;281960.4475;2164062.329
282129.2341;2163993.732;53;Jesús Anibal;282129.2341;2163993.732
282220.4138;2163956.417;54;Carlito Sport;282220.4138;2163956.417
282346.6828;2163913.031;55;JL;282346.6828;2163913.031
282417.9015;2163882.824;56;D'Tony Banca;282417.9015;2163882.824
282663.256;2163757.387;57;Beco;282663.256;2163757.387
282767.8868;2163729.878;58;Jesús Anibal;282767.8868;2163729.878
282920.1996;2163748.077;59;D'Tony Banca;282920.1996;2163748.077
282926.9306;2163746.896;60;Fey;282926.9306;2163746.896
282774.7162;2163817.159;61;Beco;282774.7162;2163817.159
282615.2512;2163893.056;62;OM;282615.2512;2163893.056
282747.4492;2163940.507;63;Los Cibaos;282747.4492;2163940.507
282754.4535;2164085.586;64;Chavez;282754.4535;2164085.586
282733.6262;2164220.593;65;OM;282733.6262;2164220.593
282950.4009;2164101.596;66;Duarte;282950.4009;2164101.596
282717.3075;2163609.576;67;Los Cibaos;282717.3075;2163609.576
282596.5176;2163611.592;68;Byron;282596.5176;2163611.592
282752.2257;2163641.375;69;Raudy;282752.2257;2163641.375
282724.5143;2163658.652;70;Beco;282724.5143;2163658.652
282736.1672;2163641.459;71;JL;282736.1672;2163641.459
282528.7636;2163711.293;72;Los Cibaos;282528.7636;2163711.293
282466.8992;2163552.041;73;Leidsa;282466.8992;2163552.041
282502.868;2163358.608;74;King;282502.868;2163358.608
282553.8801;2163341.159;75;Los Cibaos;282553.8801;2163341.159
282634.712;2163350.478;76;Fey;282634.712;2163350.478
282615.5986;2163297.671;77;Beller;282615.5986;2163297.671
282562.2661;2163166.884;78;D'Tony Banca;282562.2661;2163166.883
282532.631;2163094.716;79;Victor;282532.631;2163094.716
282496.9403;2162999.259;80;OM;282496.9403;2162999.258
282473.2777;2162926.244;81;Los Cibaos;282473.2777;2162926.244
282468.3397;2162852.227;82;OM;282468.3397;2162852.227
282393.0993;2162685.165;83;Beco;282393.0993;2162685.165
